id,amount,amount_refunded,application_fee_id,application_id,balance_transaction_id,batch_timestamp,calculated_statement_descriptor,captured,captured_at,card_address_city,card_address_country,card_address_line1,card_address_line1_check,card_address_line2,card_address_state,card_address_zip,card_address_zip_check,card_brand,card_country,card_currency,card_customer_id,card_cvc_check,card_default_for_currency,card_dynamic_last4,card_exp_month,card_exp_year,card_fingerprint,card_funding,card_id,card_last4,card_name,card_network,card_recipient_id,card_token_type,card_tokenization_method,created,currency,customer_id,description,destination_id,dispute_id,failure_code,failure_message,invoice_id,on_behalf_of_id,order_id,outcome_advice_code,outcome_network_advice_code,outcome_network_decline_code,outcome_network_status,outcome_reason,outcome_risk_level,outcome_risk_score,outcome_rule_id,outcome_seller_message,outcome_type,paid,payment_intent,payment_method_id,payment_method_type,presentment_amount,presentment_currency,receipt_email,receipt_number,refunded,shipping_address_city,shipping_address_country,shipping_address_line1,shipping_address_line2,shipping_address_postal_code,shipping_address_state,source_id,source_transfer_id,statement_descriptor,statement_descriptor_suffix,status,transfer_group,transfer_id
ch_EXmyMnHavpI6NO,2500,2500,af_4B9cVHj22PDYOi,a_DN7k6VX2tDTnh2,txn_yKSjfBdQRKijsQ,2026-03-03 10:42:03,primary,False,2026-06-03 02:06:03,,AU,default,,standard,standard,primary,pass,Visa,AU,usd,cc_3sWslwtbLGvAwu,unchecked,eur,default,1908,100,standard,unknown,c_JR47nmxXYFhJ1A,4091,,link,cr_BXGbGIOEFDXpdJ,dpan,apple_pay,2026-01-20 10:55:03,usd,cus_tSvGgWJmSAmckl,Monthly subscription,acct_02Ptu5UMvOebB9,,,,,obo_In9b4flho67Tvq,o_2qhfqIrmQvUgMB,default,standard,default,not_sent_to_network,,elevated,81,or_nhRWAhPkDV8t7N,Payment complete.,issuer_declined,True,default,pm_rRHUv6GOVkRdac,card,500,usd,standard,,True,default,CA,standard,default,default,default,src_KhR86D1zvgp7Uv,st_zygmREWcgSIWoH,ACME ROBOTICS,,succeeded,default,
ch_RaH1D6BWIPDhpP,1500,0,af_rSg64JvSxQPAJ6,a_L1DUSUkssXGuIU,txn_LO8zTqzY9ra1du,2026-02-16 03:38:03,standard,False,2026-05-04 01:42:03,standard,AU,default,standard,default,,standard,pass,Discover,US,usd,cc_PSxW4y2KB1kKMJ,pass,gbp,standard,2812,3174,,debit,c_QytYcKVGrZf9WR,3828,default,cartes_bancaires,cr_SG1AaP60rehw1J,dpan,visa_checkout,2026-01-23 01:56:03,usd,cus_gmhPGcRCyAK6G6,Seat overage,acct_02Ptu5UMvOebB9,,,,,obo_B7Yk5EBN6VbKwN,o_KLVoH76vor0Q1l,primary,primary,default,approved_by_network,primary,normal,20,or_Em4vPNNxYma7Qd,Payment complete.,authorized,True,,pm_k734gosKrtW2n0,card,7500,usd,,primary,False,,US,,default,default,,src_w7GxEy6D0GSczn,st_GbMDhvtLO6titG,BLUEHARBOR,standard,pending,standard,
ch_oaN9ejDDrNJO67,1999,0,af_MH11VMxPyPvyxy,a_MXkwN3gCOAiD0M,txn_U8pmGlNS9ifLnp,2026-02-27 23:37:03,,True,2026-01-21 20:22:03,primary,US,,standard,,primary,standard,,,,usd,cc_1SPUN99NUgIIxg,,eur,standard,4106,3959,,,c_AoVL3VgOIHi1kq,,,eftpos_au,cr_gn2DyhkJ1de3hX,dpan,visa_checkout,2026-02-18 11:49:03,eur,cus_IHfLyxY5LTvVAO,Seat overage,acct_02Ptu5UMvOebB9,,,,,obo_HX62bDqtGWnE09,o_JbAm55vJOv3v5u,standard,default,primary,approved_by_network,standard,elevated,55,or_UddkJmsASUlx5c,The bank returned the decline code.,authorized,True,standard,pm_k734gosKrtW2n0,sepa_debit,1999,gbp,standard,default,False,,DE,default,standard,primary,default,src_YgmSQW5hRuy4On,st_YD3XGCVmEFhCCw,ACME ROBOTICS,standard,pending,default,
ch_arMF8iE5lRdoP3,4200,0,af_tI9XgS4HB4DhNP,a_CXBQ4mK5zoYXl1,txn_YvGQIJu3xVKpnb,2026-04-16 02:32:03,,False,2026-04-05 14:12:03,standard,DE,default,primary,standard,standard,default,pass,Unknown,US,usd,cc_mHnQZdMcRsiijh,fail,eur,default,3124,3152,standard,credit,c_1TTmrnXkDvNgSo,8572,,link,cr_1BVJjpVLyKpQAl,dpan,android_pay,2026-02-03 22:18:03,gbp,cus_IHfLyxY5LTvVAO,Onboarding,acct_4Fqrr349nC1sOi,,,,,obo_MV6o6gEUs3RYF7,o_VGGmMf8OvLkPNP,standard,,default,reversed_after_approval,default,highest,23,or_RCWroKBCdl94nB,Payment complete.,authorized,True,default,pm_MlyQvENZiAalRO,card,999,gbp,,default,False,primary,DE,primary,primary,primary,,src_NlzP3lx7aG2yD6,st_x4LnmdPjuxBqPJ,NORTHWIND,,pending,,
ch_JeQEhkRB9cGT7L,999,0,af_MH11VMxPyPvyxy,a_jWBXJJ4LotydWa,,2026-02-27 23:55:03,primary,False,,default,AU,primary,standard,,standard,default,fail,UnionPay,FR,usd,cc_D8MNCLa71drwI0,unchecked,usd,default,1760,564,primary,debit,c_Ll8xtqopQZ1X2D,8442,primary,interac,cr_CduqFuX6QdKGZk,mpan,apple_pay,2026-01-07 09:28:03,eur,cus_5NgEDoFXpMzt4w,Card payment processing,acct_5516qDlfaHTiBp,,expired_card,Your card was declined.,,obo_mYHLYuSArGXi4M,o_HO3E9pfQhd1e3V,default,primary,primary,declined_by_network,,highest,35,or_utD08GY54LbmQR,The bank returned the decline code.,issuer_declined,False,standard,pm_rRHUv6GOVkRdac,card,999,jpy,primary,standard,False,primary,AU,,primary,default,primary,src_w7GxEy6D0GSczn,st_h1LOhbJ5ZJyvTh,NORTHWIND,primary,failed,standard,
ch_baQvO85lBlqcam,24900,0,af_MH11VMxPyPvyxy,a_1fkdpVow8M20QC,txn_MJSp4FxE1WlVwR,2026-06-03 00:37:03,,False,2026-01-06 15:21:03,,US,primary,primary,primary,standard,default,fail,UnionPay,US,jpy,cc_QGxbEI7D8fHgou,fail,eur,standard,27,2457,standard,credit,c_K0wMp74b8xMroU,5541,,visa,cr_lL1IwGYdLpF8cj,mpan,apple_pay,2026-03-20 06:50:03,usd,cus_B2Pw3IUiT2EGSu,Seat overage,acct_4Fqrr349nC1sOi,,,,,obo_RfHrucIXh9stnh,o_B6HCPug98koaxC,primary,,,reversed_after_approval,standard,not_assessed,89,or_2bgTvsNiHgiYtO,Payment complete.,issuer_declined,True,standard,pm_rRHUv6GOVkRdac,card,999,usd,standard,standard,False,standard,AU,primary,primary,primary,standard,src_KhR86D1zvgp7Uv,st_6ijIYeoWvk6o27,NORTHWIND,default,succeeded,standard,
ch_gJCxU0NdxoAj29,999,0,af_rSg64JvSxQPAJ6,a_MhnFaEXlmiDv5V,txn_zHXJAnKdqrxxLq,2026-05-28 05:36:03,primary,True,2026-02-05 02:32:03,,FR,,default,standard,,,,,,usd,cc_vxoFc7hA6cKoyQ,,usd,primary,2998,4475,default,,c_MR1N8giunupWAV,,primary,eftpos_au,cr_00Y3zfYNap0FMO,mpan,android_pay,2026-05-12 09:17:03,eur,cus_U0iLEN32Xh8Tch,Onboarding,acct_4Fqrr349nC1sOi,,,,,obo_YxbdSGWuy6IdFV,o_QxMoJBntfoypCN,default,default,primary,not_sent_to_network,primary,not_assessed,49,or_PbFoluPJYUIkRy,Stripe blocked this payment as high risk.,authorized,True,,pm_MlyQvENZiAalRO,sepa_debit,1500,gbp,,standard,False,standard,AU,,primary,standard,primary,src_YgmSQW5hRuy4On,st_7wwSVSh4q77EHr,BLUEHARBOR,default,succeeded,default,
ch_czCFU5hQ7mFvkb,10000,0,af_MH11VMxPyPvyxy,a_A9ak3tXs5cLMiJ,txn_rxj6AMubeQYVyf,2026-05-22 20:38:03,default,True,2026-01-09 07:02:03,default,AU,standard,,primary,primary,standard,,,,usd,cc_VvJUjNlKUPbGUf,,gbp,,1374,2033,,,c_662tv5KZLJmCvc,,standard,interac,cr_jaxTNJ8REEptfj,dpan,apple_pay,2026-05-03 03:01:03,eur,cus_B2Pw3IUiT2EGSu,Onboarding,acct_5516qDlfaHTiBp,,,,,obo_fslIdTO1rnbdDu,o_r7BI5o3tDYpu4o,primary,,default,reversed_after_approval,standard,normal,68,or_09hD5sxRg4dJgh,Stripe blocked this payment as high risk.,authorized,True,primary,pm_k734gosKrtW2n0,sepa_debit,500,usd,default,default,False,,US,default,,primary,default,src_w7GxEy6D0GSczn,st_2YMLAJktfFnQaV,NORTHWIND,,succeeded,,
ch_Nur52TK4zDOsEp,1500,1500,af_MH11VMxPyPvyxy,a_GKduyr3ce0Xz6n,txn_U8pmGlNS9ifLnp,2026-02-18 13:22:03,default,True,2026-06-21 14:05:03,default,US,standard,default,standard,standard,,,,,usd,cc_hq62pgIPJ21vv6,,usd,,4276,2888,primary,,c_4g2AtzqDRjXMR7,,primary,link,cr_JSnjIKvYcVF0t4,dpan,apple_pay,2026-02-28 18:58:03,jpy,cus_IHfLyxY5LTvVAO,Monthly subscription,acct_02Ptu5UMvOebB9,,,,,obo_POoPxvNppuf9il,o_1Y1SKpirFmJDm3,standard,default,default,declined_by_network,,normal,29,or_1vGsbJ72Q9qtY6,Stripe blocked this payment as high risk.,authorized,True,standard,pm_MlyQvENZiAalRO,us_bank_account,10000,gbp,standard,,True,standard,FR,,,default,default,src_YgmSQW5hRuy4On,st_2VGJDDpjtX9JYW,BLUEHARBOR,standard,succeeded,,
ch_9PvPxAqjBM0IVw,2500,0,af_rSg64JvSxQPAJ6,a_aQO58vmvsNuhAa,,2026-01-28 02:46:03,standard,True,,primary,DE,default,primary,,,default,,,,usd,cc_BFE4UIwXhfb1Hn,,gbp,primary,4225,4004,primary,,c_oFDBQV1pI49llb,,,cartes_bancaires,cr_5h1D44BkVjvX2K,dpan,visa_checkout,2026-05-25 12:39:03,jpy,cus_tSvGgWJmSAmckl,Card payment processing,acct_02Ptu5UMvOebB9,,card_declined,Your card was declined.,,obo_jPiN42xrcJpkbL,o_W0konX8IzX0WB1,,standard,standard,approved_by_network,default,elevated,4,or_Wg2efFKfEWZfi8,Payment complete.,issuer_declined,False,,pm_rRHUv6GOVkRdac,us_bank_account,10000,gbp,primary,default,False,primary,AU,default,standard,default,primary,src_KhR86D1zvgp7Uv,st_pBu6LLynkifiCw,BLUEHARBOR,standard,failed,standard,
