id,amount_due,amount_paid,amount_remaining,amount_shipping,application_fee,application_id,attempt_count,attempted,auto_advance,automatic_tax_enabled,automatic_tax_provider,automatic_tax_status,batch_timestamp,billing_reason,charge_id,collection_method,currency,customer_address_city,customer_address_country,customer_address_line1,customer_address_line2,customer_address_postal_code,customer_address_state,customer_description,customer_email,customer_id,customer_name,customer_phone,customer_shipping_address_city,customer_shipping_address_country,customer_shipping_address_line1,customer_shipping_address_line2,customer_shipping_address_postal_code,customer_shipping_address_state,customer_shipping_name,customer_shipping_phone,customer_tax_exempt,date,default_payment_method_id,description,discount_checkout_session,discount_coupon_id,discount_customer_id,discount_end,discount_invoice,discount_invoice_item,discount_promotion_code_id,discount_schedule_id,discount_start,discount_subscription,discount_subscription_item,discounts,due_date,effective_at,ending_balance,footer,next_payment_attempt,number,on_behalf_of_id,paid,paid_out_of_band,parent_id,parent_type,period_end,period_start,post_payment_credit_notes_amount,pre_payment_credit_notes_amount,quote_id,receipt_number,shipping_cost_amount_subtotal,shipping_cost_amount_tax,shipping_cost_amount_total,shipping_cost_shipping_rate_id,shipping_details_address_city,shipping_details_address_country,shipping_details_address_line1,shipping_details_address_line2,shipping_details_address_postal_code,shipping_details_address_state,shipping_details_name,shipping_details_phone,starting_balance,statement_descriptor,status,status_transitions_finalized_at,status_transitions_marked_uncollectible_at,status_transitions_paid_at,status_transitions_voided_at,subscription_id,subscription_proration_date,subtotal,tax,tax_percent,total,transfer_data_amount,transfer_data_destination_id,webhooks_delivered_at
in_Kgq68zNiZqLGJY,7950,0,7950,24900,3786,a_6AqhR1d7n9NXuP,10,True,True,False,default,primary,2026-06-04 14:05:03,subscription_threshold,ch_arMF8iE5lRdoP3,charge_automatically,usd,standard,GB,standard,,,primary,default,primary,cus_5NgEDoFXpMzt4w,standard,default,default,CA,,,default,primary,primary,standard,standard,2026-01-14 03:03:03,dpm_n9O1Xk8Gj5YN5M,Card payment processing,default,dc_o4bGJOOOCpbfY8,dc_NyS4rXjLtodvGA,2026-02-08 05:24:03,default,standard,dpc_gzrLdmAikcJMBU,ds_YtUKS245KapPQI,2026-01-14 10:34:03,,primary,,2026-05-29 23:00:03,2026-04-15 03:50:03,2892,standard,2026-01-06 07:15:03,primary,obo_bKxlNccLDBrFJ8,False,False,p_KUtDaftARC5iup,schedule,2026-05-14 17:21:03,2026-01-25 07:35:03,7500,1999,,default,999,0,500,scsr_D4Wgbu1b8fru00,,AU,,default,default,default,,,1361,BLUEHARBOR,uncollectible,2026-05-04 07:20:03,2026-05-29 21:10:03,2026-02-28 02:09:03,2026-04-24 16:27:03,sub_qBeInEfoTg0sQK,2026-03-31 10:19:03,7500,450,359.98,7950,1500,tdd_aKq3uvKpxglNby,2026-01-19 09:01:03
in_2w1fEi8qhu3Z6p,0,1804,0,24900,4274,a_ESfMlPa5ndtdEY,9,True,True,True,default,primary,2026-01-20 09:23:03,upcoming,ch_arMF8iE5lRdoP3,send_invoice,usd,standard,CA,default,primary,default,standard,primary,,cus_gmhPGcRCyAK6G6,default,primary,standard,CA,primary,default,,primary,,,primary,2026-05-12 03:57:03,dpm_LQRqE62WK0VG4M,Onboarding,standard,dc_Fr9XJwn7HtyUhu,dc_XNibUWy75aQxre,2026-02-07 19:00:03,standard,standard,dpc_2VNCRR4gXw1arE,ds_VYyp3ok1EHgRvf,2026-04-04 14:16:03,standard,default,primary,2026-05-22 03:19:03,2026-02-02 07:31:03,3957,,2026-03-15 01:40:03,primary,obo_uO8ilEApKotmnF,True,True,p_tYIVbY6BwJbWvO,schedule,2026-02-07 14:46:03,2026-05-06 01:32:03,1500,7500,,primary,24900,0,500,scsr_wJsgCeiK58jdlP,,GB,standard,primary,standard,,default,standard,1274,NORTHWIND,paid,2026-05-07 00:56:03,2026-03-20 08:32:03,2026-05-30 16:39:03,2026-05-08 00:28:03,sub_5BGEtQPZhLVsql,2026-05-02 13:31:03,1500,304,187.89,1804,4200,tdd_oeCriMLI8suXau,2026-02-11 05:00:03
in_OWFATMkjCy3PzP,2086,0,2086,1999,4353,a_LwLxxmoTe0o54F,8,False,False,False,primary,default,2026-06-23 06:34:03,subscription_update,ch_arMF8iE5lRdoP3,send_invoice,gbp,,FR,default,standard,default,standard,standard,standard,cus_tSvGgWJmSAmckl,,default,,CA,primary,primary,standard,primary,standard,,standard,2026-02-02 09:38:03,dpm_hHQEYwjWD7Vf6s,Seat overage,standard,dc_eee84T5mzWC4me,dc_Np9LCqYFQntQ0a,2026-04-01 08:38:03,,default,dpc_PWJoEG1RXPikHO,ds_OB3Vo54FyRIsnv,2026-06-06 15:19:03,standard,default,standard,2026-03-25 15:42:03,2026-01-15 11:28:03,758,default,2026-03-02 15:50:03,primary,obo_YLDMswssjCpboE,False,False,p_2Oggg6ScwHNe4u,quote,2026-06-23 14:28:03,2026-05-23 00:50:03,1999,999,,primary,500,59,1500,scsr_u9C6dOIB2NVX7H,,US,,default,default,,standard,default,4886,NORTHWIND,open,2026-05-24 01:01:03,2026-04-12 19:05:03,2026-01-23 00:14:03,2026-02-22 08:34:03,sub_5BGEtQPZhLVsql,2026-02-26 07:01:03,1999,87,65.47,2086,4200,tdd_qCQ2aV0VHDkrGU,2026-06-11 08:37:03
in_lfR6W0noIaRUuL,4259,0,4259,999,3061,a_K28wOTykAUULVT,6,False,False,False,primary,,2026-02-09 16:57:03,upcoming,ch_baQvO85lBlqcam,charge_automatically,usd,default,AU,,standard,,standard,default,primary,cus_U0iLEN32Xh8Tch,standard,standard,standard,US,primary,primary,standard,primary,primary,standard,primary,2026-05-19 16:05:03,dpm_nYpQnPPCUemCKX,Monthly subscription,,dc_0MAe3jZE9aNIt7,dc_iAge6Jtn8WfjS1,2026-01-25 08:02:03,,,dpc_iHBQRwK6Ty5THo,ds_GxV1wEjoC5wzCR,2026-05-12 01:34:03,default,,primary,2026-03-17 16:21:03,2026-06-11 06:50:03,548,primary,2026-06-24 08:41:03,default,obo_OQdqiyA1chHrAP,False,False,p_LQ3BFtBYZ9hCrJ,billing_cadence,2026-01-14 11:20:03,2026-02-20 00:47:03,4200,1999,,,999,120,500,scsr_PFbN13pHoxOrpc,standard,GB,primary,standard,primary,default,primary,,2590,NORTHWIND,open,2026-04-09 13:55:03,2026-04-12 15:20:03,2026-02-06 16:28:03,2026-03-30 13:08:03,sub_5BGEtQPZhLVsql,2026-04-16 06:48:03,4200,59,341.3,4259,24900,tdd_y7ZM0Lxa5LNLqM,2026-04-15 17:55:03
in_cCm1xmKHw2hTED,0,10450,0,1500,3708,a_26VGGZ3uFBsiiu,5,False,False,True,primary,,2026-04-11 01:04:03,upcoming,ch_EXmyMnHavpI6NO,charge_automatically,eur,,GB,standard,standard,primary,default,primary,default,cus_B2Pw3IUiT2EGSu,default,default,,AU,standard,primary,standard,standard,primary,default,default,2026-03-19 14:38:03,dpm_5omfaodD3hhELD,Onboarding,default,dc_k8HgnwvauGSqTb,dc_tbJ5RAn0dQ8zRZ,2026-03-09 03:08:03,,primary,dpc_v5San3Amyk04Rr,ds_dLKbRIRUFsZiDE,2026-03-12 07:54:03,standard,,standard,2026-04-21 10:37:03,2026-06-16 03:50:03,4101,primary,2026-06-21 18:42:03,standard,obo_4vwoJ1w342DKmZ,True,False,p_vGMXo2srewrojU,billing_cadence,2026-01-21 11:01:03,2026-03-28 06:33:03,24900,1500,,default,500,190,999,scsr_bXsGZY3Pf8zbnH,,CA,primary,primary,primary,standard,standard,,1003,ACME ROBOTICS,paid,2026-01-09 21:12:03,2026-01-29 01:20:03,2026-03-17 04:09:03,2026-04-25 03:45:03,sub_5BGEtQPZhLVsql,2026-03-17 01:16:03,10000,450,66.18,10450,2500,tdd_NgiNEvSiUUu3nM,2026-02-20 15:49:03
in_xM2fVgGX17vAcj,0,999,0,7500,3069,a_50rRCm2qfvKTML,2,True,True,False,,primary,2026-02-15 07:17:03,subscription_create,ch_9PvPxAqjBM0IVw,charge_automatically,jpy,,DE,standard,default,standard,primary,default,standard,cus_4p4MC5T7GCiC1u,default,primary,primary,US,primary,,standard,primary,standard,standard,standard,2026-05-13 10:22:03,dpm_uAgM9C2Uu5Ue3k,Onboarding,primary,dc_YXsqNhyshm9dA1,dc_j3qhVm7lecyYmb,2026-04-02 23:41:03,default,primary,dpc_ZX1BeggWScyUhI,ds_eKqumJQfeimgvR,2026-02-23 22:33:03,standard,primary,default,2026-04-11 18:36:03,2026-03-25 12:18:03,2070,,2026-03-24 03:11:03,default,obo_BnUf2aqnDlQNuy,True,True,p_Bo744tCFR4u4tD,subscription,2026-01-09 05:10:03,2026-03-10 22:18:03,1500,4200,,standard,4200,450,999,scsr_etKmzAaKXuQ62t,standard,FR,default,primary,standard,standard,,primary,3318,BLUEHARBOR,paid,2026-01-22 22:17:03,2026-04-08 03:42:03,2026-02-21 13:53:03,2026-06-13 09:15:03,sub_9v5CnogLpTtaP9,2026-02-07 13:05:03,999,0,218.53,999,999,tdd_2XHBSWmCkAvSmG,2026-06-24 19:49:03
in_GuyQLTLA5f1QmN,0,1058,0,1500,792,a_WScOnRF58NhOVz,9,False,True,False,standard,primary,2026-06-10 18:34:03,subscription_cycle,ch_oaN9ejDDrNJO67,send_invoice,eur,,DE,,standard,,,default,primary,cus_4p4MC5T7GCiC1u,standard,standard,standard,US,default,default,primary,default,standard,standard,standard,2026-01-27 17:56:03,dpm_eoKkxWWjfnu6OB,Onboarding,primary,dc_Uan5SafqqiIJUp,dc_WCbiV09LVZPlNM,2026-01-15 08:08:03,standard,primary,dpc_2mfCNiHIqGWQVL,ds_qlLZpsTAISl8Bd,2026-02-16 13:33:03,standard,,standard,2026-05-16 19:12:03,2026-02-26 07:47:03,4037,,2026-06-13 05:53:03,,obo_p2O21zsWFQsH9t,True,True,p_s1hxBDguCrYaAp,billing_cadence,2026-01-07 19:56:03,2026-01-21 14:54:03,999,10000,,default,7500,0,2500,scsr_d8dygrRvmhWwrz,primary,US,primary,,,standard,standard,,3013,NORTHWIND,paid,2026-02-18 01:31:03,2026-06-10 11:17:03,2026-03-24 20:45:03,2026-02-16 20:27:03,sub_qBeInEfoTg0sQK,2026-02-16 09:23:03,999,59,462.85,1058,500,tdd_UUBvXPCjVXhsQM,2026-04-26 15:40:03
in_tIoBTMotzoQUAx,0,4259,0,500,2557,a_MxWIdw158W958l,10,True,False,True,primary,standard,2026-06-23 16:02:03,subscription_update,ch_oaN9ejDDrNJO67,send_invoice,gbp,default,GB,primary,,default,default,default,primary,cus_gmhPGcRCyAK6G6,,,default,FR,primary,primary,default,,,default,default,2026-05-06 16:48:03,dpm_E2ZnEOzUPztcJb,Onboarding,,dc_XOCUt6Yg99zMas,dc_WjBhExSJVYLHIp,2026-06-04 04:51:03,primary,standard,dpc_p6rqxB5ogMwfzz,ds_xjRz589EbrvXus,2026-02-12 22:18:03,standard,standard,default,2026-02-15 13:51:03,2026-01-28 04:19:03,876,,2026-05-12 20:18:03,standard,obo_hZXXQUXw5BHqfs,True,False,p_ycqR1KAB3KRbHO,billing_cadence,2026-01-18 06:30:03,2026-01-10 15:45:03,999,24900,,primary,10000,87,10000,scsr_Gp8J25AsJAPnTe,standard,GB,default,,default,default,,,720,NORTHWIND,paid,2026-01-26 09:33:03,2026-01-26 01:20:03,2026-05-15 14:28:03,2026-02-16 09:37:03,sub_aKSKkliG930fdG,2026-05-29 17:57:03,4200,59,415.73,4259,1999,tdd_0l9aoOO3SgSPVD,2026-05-05 08:26:03
in_OCBD9TQKQGaFqk,0,4650,0,1999,59,a_xFYou1Hye4Nupy,4,True,False,False,primary,primary,2026-01-22 19:00:03,subscription_cycle,ch_oaN9ejDDrNJO67,send_invoice,usd,standard,US,,standard,,standard,primary,standard,cus_5NgEDoFXpMzt4w,standard,standard,default,AU,default,primary,standard,standard,,standard,primary,2026-01-18 08:51:03,dpm_MJffJ57Q2yi04n,Seat overage,default,dc_v19m0Q0o5aMhLY,dc_ADAzMqYEMpoVt5,2026-02-13 00:25:03,,default,dpc_HibSZIQaZFAXIh,ds_aZtUcoh4ZO4GPE,2026-05-27 11:16:03,,standard,primary,2026-03-18 02:23:03,2026-04-05 15:34:03,173,standard,2026-04-01 02:42:03,primary,obo_j63gTUtZnn2k4k,True,True,p_JG7SdJprviYUpk,subscription,2026-04-28 17:30:03,2026-06-16 16:11:03,10000,10000,,primary,1500,59,10000,scsr_OgN1L30OIQRqpR,primary,DE,standard,standard,standard,,primary,primary,233,ACME ROBOTICS,paid,2026-05-27 20:55:03,2026-06-23 11:29:03,2026-02-06 07:19:03,2026-01-16 04:22:03,sub_9v5CnogLpTtaP9,2026-04-01 20:38:03,4200,450,447.89,4650,24900,tdd_6UZZJYHN4kx9qA,2026-04-28 01:30:03
in_Jqpr5mbmGHupdo,10120,0,10120,10000,3391,a_BVlE9TdHZU6dzP,2,True,True,True,,standard,2026-03-15 15:03:03,manual,ch_Nur52TK4zDOsEp,charge_automatically,usd,standard,US,primary,,primary,primary,,default,cus_U0iLEN32Xh8Tch,primary,default,,US,default,default,default,primary,,primary,primary,2026-06-03 06:55:03,dpm_eXaN8sXOkwQlsc,Card payment processing,primary,dc_Hbgb1LmndkYZ1x,dc_VKT2MTZpVG9q2D,2026-03-06 15:28:03,standard,default,dpc_v911gyo1NzZa6e,ds_GG2RiaFvarOOAJ,2026-02-04 23:33:03,primary,standard,primary,2026-02-25 02:05:03,2026-01-13 15:01:03,3379,standard,2026-01-17 07:30:03,primary,obo_oK0cFCe8QTmvAd,False,True,p_hEBHvBdNObdmW4,quote,2026-03-25 05:03:03,2026-01-28 08:32:03,4200,24900,,,999,59,10000,scsr_0phurkchE0NgXW,primary,CA,,,standard,default,default,default,266,ACME ROBOTICS,open,2026-01-19 18:34:03,2026-03-02 06:40:03,2026-01-29 22:50:03,2026-04-12 01:29:03,sub_fKHCD3mtAcXEsv,2026-04-15 06:11:03,10000,120,203.95,10120,24900,tdd_8dnOrFiTF9A5lx,2026-04-25 20:36:03
